Municipality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Alforja,-1.9337105914952641,-1.0212546760165324,-1.7698659349872168,3.338939302934893,1.811114673904609,-0.7165379835838962,0.14318222225605642,-0.2219947512573596,-1.5638029057311216,-0.31732122717161476,-1.158271162465657,0.9116535592022301,-1.1159670941295832,0.022916460669910665,1.559511774289752,-0.05397717185870842,-0.8305052433665542,-7.927772628606859e-05,0.33190244308771033,0.5393851415857465,0.41320685084965053,0.09878434963456453,-0.12798861081296325,0.4289958766708129,-0.682967915495043
Algerri,10.042858270002409,-4.870654119729045,-1.6183848251141222,-0.7759629955530923,0.02661138316102389,-0.019825543791192217,1.8656357830236476,0.49715433208084936,0.47145165786810234,0.6200379001170649,-2.0199740736976977,-2.3500554444352524,-1.2136925812543715,0.4577286689892546,-1.7497998393245846,0.8588897518428605,0.028606591496652317,0.7374433181130643,-1.4919793261271774,-1.1440792002456521,-0.5453625955901039,-1.2825548702128475,-1.172862707824383,0.5613320554860499,-0.3786219839518483
Alguaire,-1.31650599381172,-4.210705778212535,0.3226756323763762,-2.2330282045688685,1.4825968262310794,-0.9186474850631118,0.8690872574460664,1.0565354189122833,-1.6068573350961544,-0.8349639562916377,0.21380710819117332,-0.8512780719791803,0.08080034723217144,-0.20383164671430773,-0.6834999695775694,-0.7562497365999784,-1.3359322507445341,0.9059935020824194,-0.27619403676280185,0.17645845875350405,0.6782138870886132,0.23070271514714688,0.4499846299115603,0.6851227747374764,-0.013831111061357393
Alins,10.27775399442777,3.224431717115593,5.0525130697648875,1.5773636217138731,-2.817965252195719,0.6868111010066688,-3.2057323795581936,4.645312273794158,-1.1904811560437667,-3.0743866069205397,-0.6633332039009054,0.6738375238258436,3.9244663941637854,-4.1052538765291295,0.6068639931500559,-1.466276780830135,-0.7592902738458917,0.9465596614270764,1.6327252143010307,0.8289418144280467,4.800204090412479,2.395847397466764,-0.6712527423433282,-2.721446581657851,0.9333307288716962
Alió,-0.7450069631497291,1.2834240028448551,-3.8427648323840886,-2.0135821524574413,0.187452197309645,-0.5290135463248765,1.7909087540641928,-1.6908321333923517,1.508863183516088,0.7007527315842427,-1.5940850180855362,-1.3384619994876745,0.8668599019973203,-2.8851442488578565,0.8722297497082631,2.2709461723100826,-0.39170405888142673,-0.05149130317629194,-0.4838981499722968,-0.7518465501177921,0.2223264685477063,-0.7484555644963473,-0.14064911135479252,-0.4836132876511287,-0.08749561730808454
Almacelles,-3.0970405116925743,-5.057819416046373,1.760869002170146,-2.475048059996853,1.1761007410834825,-0.8144880261590528,0.3214210750747687,1.6957177754949582,-1.054610616417952,-0.21422773248536478,-0.21235010106255106,-0.6611637527538563,0.22360001727453266,0.05148156304064528,-0.8689545959977628,0.036222746359469114,-0.3485934765287944,1.477858350912089,-0.6750703542864873,-0.670860800243528,1.6799451676861397,-0.582789548036278,0.5749031910846376,0.7750693557716608,-0.06396225976231032
Almatret,12.854065144167889,-6.17014588723547,0.09217712662740626,-0.9439719796330818,-0.22734006015965758,0.10721261654983592,-0.006073680810067354,0.05320272517302916,-1.4931122520515925,3.2412910367553778,1.9305465158885107,-1.8649363498892808,-0.08539074946852866,-0.8400151211276408,-2.097930632140606,1.9670638104808917,-0.3709882234783386,-0.4554347212373034,0.46240941901528876,-0.07831794644944919,-0.5815551699626982,1.14649138199708,1.1027429768159698,1.0365356946836548,-2.6723149203516403
Almenar,1.159178345861553,-4.57328156680482,-0.5812023999393557,-0.8317340983113441,1.1938132213136436,-0.6909606119329854,0.09855461844879548,2.0429527231837388,-1.5420102201718033,-1.348555677045595,-0.20038678318522285,-0.4162067940240773,-0.42632309564889775,0.11340343553320006,-0.8838225074559549,-0.28738924728064874,-0.834397089670409,-0.07194917402262019,-0.3124878052998002,-1.4668349314639126,0.4548368007912893,0.18080275445769442,0.5393109817137062,1.1827738348562413,0.48593370891590426
Almoster,-2.2002570441041627,4.223405214156114,-2.9666645113212833,1.5538620610592038,1.6252068383760665,-1.4285472029939232,-1.919599436731863,-0.33296633858248653,-2.3659988138546537,1.5121870652480105,1.8728729981824754,2.5561890247697985,0.44624836873107926,-0.6386910081346654,-0.4190975663136939,-1.0225912537214297,-0.07985508725494775,-1.134822145869676,-0.8173446968565962,0.23616836976618988,0.5339372169905594,0.2744408152071534,-0.1919107810553197,0.7073248032290828,0.6313596170903593
Alòs de Balaguer,12.755600139870332,-2.7211663607650998,5.547537118737011,1.0404138252829842,-0.3567340234141177,1.7448919610012026,1.0829999217923532,4.937083951336488,-1.2526057578810614,5.169907709875252,8.583938535919026,-5.55628553063722,-1.253461198025344,-2.5267744639210394,4.775462752277948,2.3889914452922447,4.714896539007192,-0.010558581049616397,-1.5680286775319194,-0.04345445749135545,-1.8009657138370416,0.29124856624387707,-0.6055303161170953,0.3413789116198357,-4.128249903094636
Alp,-2.3759544762978826,6.347856347872558,6.274004992560279,0.5834912015830692,-3.55039545050798,1.8474863131807884,2.310482563559263,1.4996601449718758,-5.303992807145705,1.5023778157965415,-2.8175054904706474,3.3256811325341937,-1.6409743657640576,0.9022590555588036,-0.23512647252808075,1.1002554546044045,-0.583453535841427,-1.428624995295072,-2.663100648316863,-0.08474000000278945,-0.06151056007535721,-1.1583959959480776,0.8160792283823478,-0.7387591981283369,0.5467285010424418
Alpens,3.25718607668394,4.780072248037961,0.8584612286371509,0.6409843635806649,0.5035098752651525,-0.6561297174552738,-0.7590459219153756,-1.5487420983358606,-1.7250287702401785,-1.1673807124996876,3.704922902418809,-0.2850103219754282,-1.536797763591461,-0.4959851937876495,0.6205301466601478,0.03478542328901279,-0.4454865687167839,0.19907094438694006,-1.0876396666742156,0.6083454374792053,-1.5695139867741372,0.48362615606909043,0.553682435954276,-0.34494094581723245,0.8383344559877448
Alpicat,-3.795006693119601,3.3601982894837357,-2.2454244575711284,-0.42326230873053594,1.873882981050255,-1.7688537500761043,-1.7920789533047146,1.2715324242099826,-2.2772137564745587,1.3294660936900713,-0.1504337898353077,0.6219249381922005,0.7169562886176917,-0.7413564178456106,-0.07383050663084804,-0.2901918258545265,-0.33331423372082325,0.6042353633957558,-0.4779929705978101,-0.4789372920906437,0.7220931749484861,-0.8366406320501557,0.5148558732765374,0.8858500258092409,0.3922273809964689
Alt Àneu,6.548089163287324,5.337441628779965,6.365097723836264,3.1008610152261546,-0.6186727611303438,-0.1262545915457347,-1.322564784768629,4.498263768419859,-4.424370337309072,1.4537604009850162,0.638876690506384,-1.1748761595163788,-0.2430999434796532,-0.647863900930821,-0.8331469141853721,0.38666123480376263,-1.8579644275695302,0.5440764273435783,-0.6409412468267458,0.3469934281410155,2.270581156913786,-0.6659339782441164,-0.8683101007426423,-2.8767242404218405,0.9944236166288167
