,id,content
543,081635,Pineda de Mar
544,431068,"Pinell de Brai, el"
545,251667,Pinell de Solsonès
546,251673,Pinós
547,431074,Pira
548,431080,"Pla de Santa Maria, el"
549,081640,"Pla del Penedès, el"
550,171334,"Planes d'Hostoles, les"
551,171349,Planoles
552,259118,"Plans de Sió, els"
553,251689,"Poal, el"
554,251692,"Pobla de Cérvoles, la"
555,081653,"Pobla de Claramunt, la"
556,081666,"Pobla de Lillet, la"
557,431093,"Pobla de Mafumet, la"
558,431107,"Pobla de Massaluca, la"
559,431114,"Pobla de Montornès, la"
560,251713,"Pobla de Segur, la"
561,431129,Poboleda
562,081672,Polinyà
563,431135,"Pont d'Armentera, el"
564,250306,"Pont de Bar, el"
565,171352,Pont de Molins
566,251734,"Pont de Suert, el"
567,081825,"Pont de Vilomara i Rocafort, el"
568,431418,Pontils
569,081688,Pontons
570,171365,Pontós
571,251728,Ponts
572,171371,Porqueres
573,431140,Porrera
574,171404,"Port de la Selva, el"
575,171387,Portbou
576,251749,"Portella, la"
577,431153,Pradell de la Teixeta
578,431166,Prades
579,431172,Prat de Comte
580,081691,"Prat de Llobregat, el"
581,431188,Pratdip
582,081712,Prats de Lluçanès
583,081705,"Prats de Rei, els"
584,251752,Prats i Sansor
585,251765,Preixana
586,251771,Preixens
587,082303,Premià de Dalt
588,081727,Premià de Mar
589,171390,"Preses, les"
590,251790,Prullans
591,081751,Puig-reig
592,171411,Puigcerdà
593,081748,Puigdàlber
594,251804,Puiggròs
595,431191,Puigpelat
596,251811,Puigverd d'Agramunt
597,251826,Puigverd de Lleida
598,081764,Pujalt
599,081770,"Quar, la"
600,171426,Quart
601,170433,Queralbs
602,431205,Querol
603,171432,Rabós
604,081786,Rajadell
605,431362,"Ràpita, la"
606,431212,Rasquera
607,171447,Regencós
608,081799,Rellinars
609,431227,Renau
610,431233,Reus
611,251832,Rialp
612,431248,"Riba, la"
613,431251,Riba-roja d'Ebre
614,259059,Ribera d'Ondara
615,251850,Ribera d'Urgellet
616,171450,Ribes de Freser
617,171463,Riells i Viabrea
618,431264,"Riera de Gaià, la"
619,251863,Riner
620,171479,Ripoll
621,081803,Ripollet
622,259139,Riu de Cerdanya
623,171485,Riudarenes
624,171498,Riudaura
625,431270,Riudecanyes
626,431286,Riudecols
627,171501,Riudellots de la Selva
628,431299,Riudoms
629,171518,Riumors
630,081810,"Roca del Vallès, la"
631,431303,Rocafort de Queralt
632,431310,Roda de Berà
633,081831,Roda de Ter
634,431325,Rodonyà
635,431331,Roquetes
636,171523,Roses
637,251898,Rosselló
638,431346,"Rourell, el"
639,081846,Rubí
640,081859,Rubió
641,171539,Rupià
642,089019,Rupit i Pruit
643,081878,Sabadell
644,081884,Sagàs
645,251902,Salàs de Pallars
646,081901,Saldes
647,171544,Sales de Llierca
648,081918,Sallent
649,431359,Salomó
650,439057,Salou
651,171557,Salt
652,251919,Sanaüja
653,081944,Sant Adrià de Besòs
654,081957,Sant Agustí de Lluçanès
655,081960,Sant Andreu de la Barca
656,081976,Sant Andreu de Llavaneres
657,171576,Sant Andreu Salou
658,171833,Sant Aniol de Finestres
659,081982,Sant Antoni de Vilamajor
660,081995,Sant Bartomeu del Grau
661,082009,Sant Boi de Llobregat
662,082016,Sant Boi de Lluçanès
663,082037,Sant Cebrià de Vallalta
664,082021,Sant Celoni
665,082042,Sant Climent de Llobregat
666,171582,Sant Climent Sescebes
667,082055,Sant Cugat del Vallès
668,082068,Sant Cugat Sesgarrigues
669,251961,Sant Esteve de la Sarga
670,082074,Sant Esteve de Palautordera
671,082080,Sant Esteve Sesrovires
672,171595,Sant Feliu de Buixalleu
673,082107,Sant Feliu de Codines
674,171609,Sant Feliu de Guíxols
675,082114,Sant Feliu de Llobregat
676,171616,Sant Feliu de Pallerols
677,082129,Sant Feliu Sasserra
678,171621,Sant Ferriol
679,082093,Sant Fost de Campsentelles
680,082135,Sant Fruitós de Bages
681,171637,Sant Gregori
682,251924,Sant Guim de Freixenet
683,251977,Sant Guim de la Plana
684,171642,Sant Hilari Sacalm
685,082153,Sant Hipòlit de Voltregà
686,081939,Sant Iscle de Vallalta
687,439023,Sant Jaume d'Enveja
688,082166,Sant Jaume de Frontanyà
689,171655,Sant Jaume de Llierca
690,431378,Sant Jaume dels Domenys
691,171674,Sant Joan de les Abadesses
692,171680,Sant Joan de Mollet
693,082188,Sant Joan de Vilatorrada
694,082172,Sant Joan Despí
695,171851,Sant Joan les Fonts
696,171668,Sant Jordi Desvalls
697,089030,Sant Julià de Cerdanyola
698,171693,Sant Julià de Ramis
699,082205,Sant Julià de Vilatorta
700,179032,Sant Julià del Llor i Bonmatí
701,082212,Sant Just Desvern
702,082227,Sant Llorenç d'Hortons
703,171714,Sant Llorenç de la Muga
704,251930,Sant Llorenç de Morunys
705,082233,Sant Llorenç Savall
706,082251,Sant Martí d'Albars
707,082248,Sant Martí de Centelles
708,171729,Sant Martí de Llémena
709,259025,Sant Martí de Riucorb
710,082264,Sant Martí de Tous
711,082270,Sant Martí Sarroca
712,082286,Sant Martí Sesgueioles
713,171735,Sant Martí Vell
714,082299,Sant Mateu de Bages
715,171740,Sant Miquel de Campmajor
716,171753,Sant Miquel de Fluvià
717,171766,Sant Mori
718,171772,Sant Pau de Segúries
719,082310,Sant Pere de Ribes
720,082325,Sant Pere de Riudebitlles
721,082331,Sant Pere de Torelló
722,082346,Sant Pere de Vilamajor
723,171788,Sant Pere Pescador
724,081897,Sant Pere Sallavinera
725,082359,Sant Pol de Mar
726,082362,Sant Quintí de Mediona
727,082378,Sant Quirze de Besora
728,082384,Sant Quirze del Vallès
729,082397,Sant Quirze Safaja
730,251945,Sant Ramon
731,082401,Sant Sadurní d'Anoia
732,082418,Sant Sadurní d'Osormort
733,080983,Sant Salvador de Guardiola
734,082628,Sant Vicenç de Castellet
735,082649,Sant Vicenç de Montalt
736,082652,Sant Vicenç de Torelló
737,082634,Sant Vicenç dels Horts
738,431384,Santa Bàrbara
739,082439,Santa Cecília de Voltregà
740,082444,Santa Coloma de Cervelló
741,171805,Santa Coloma de Farners
742,082457,Santa Coloma de Gramenet
743,431397,Santa Coloma de Queralt
