,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
0,Abella de la Conca,Municipality,Lleida,184,164,179,172,171,→
1,Abrera,Municipality,Barcelona,4221,5464,8624,11815,12620,→
2,Àger (Ager),Municipality,Lleida,684,592,516,588,588,→
3,Agramunt,Municipality,Lleida,4649,4803,4759,5612,5464,→
4,Aguilar de Segarra,Municipality,Barcelona,219,191,220,252,286,→
5,Agullana,Municipality,Girona,693,690,668,839,885,→
6,Aiguafreda,Municipality,Barcelona,2034,2063,2155,2469,2556,→
7,Aiguamúrcia (Aiguamurcia),Municipality,Tarragona,608,565,648,896,960,→
8,Aiguaviva,Municipality,Girona,330,354,496,776,789,→
9,Aitona,Municipality,Lleida,2258,2259,2179,2409,2493,→
10,Alàs i Cerc (Alás Serch),Municipality,Lleida,465,403,400,374,322,→
11,Albanyà (Albañá),Municipality,Girona,122,109,99,142,178,→
12,Albatàrrec (Albatarrech),Municipality,Lleida,1066,1009,1224,2078,2224,→
13,Albesa,Municipality,Lleida,1454,1462,1490,1660,1561,→
14,Albinyana (Albiñana),Municipality,Tarragona,578,777,1630,2358,2504,→
15,Albons,Municipality,Girona,481,455,534,707,798,→
16,Alcanar,Municipality,Tarragona,7959,7848,8032,10399,9579,→
17,Alcanó,Municipality,Lleida,310,289,256,237,233,→
18,Alcarràs (Alcarrás),Municipality,Lleida,4323,4507,4788,8644,9678,→
19,Alcoletge,Municipality,Lleida,1407,1517,1784,3148,3492,→
20,Alcover,Municipality,Tarragona,3444,3379,3966,5119,5185,→
21,Aldover,Municipality,Tarragona,875,823,774,955,911,→
22,Alella,Municipality,Barcelona,3381,6895,8470,9582,9954,→
23,Alfara de Carles,Municipality,Tarragona,446,391,346,407,376,→
24,Alfarràs (Alfarrás),Municipality,Lleida,3189,3018,2968,3073,2759,→
25,Alfés,Municipality,Lleida,355,337,328,339,301,→
26,Alforja,Municipality,Tarragona,1136,1088,1344,1841,1843,→
27,Algerri,Municipality,Lleida,639,554,499,439,423,→
28,Alguaire,Municipality,Lleida,2883,2859,2724,3097,3065,→
29,Alins,Municipality,Lleida,313,307,272,302,279,→
30,Alió,Municipality,Tarragona,348,336,375,398,478,→
31,Almacelles (Almacellas),Municipality,Lleida,5321,5496,5623,6682,6875,→
32,Almatret,Municipality,Lleida,619,553,463,357,310,→
33,Almenar,Municipality,Lleida,3636,3573,3464,3627,3365,→
34,Almoster,Municipality,Tarragona,371,473,945,1372,1322,→
35,Alòs de Balaguer (Alós de Balaguer),Municipality,Lleida,184,165,167,137,122,→
36,Alp,Municipality,Girona,883,908,1219,1716,1645,→
37,Alpens,Municipality,Barcelona,255,249,278,296,269,→
38,Alpicat,Municipality,Lleida,1806,2591,4416,6189,6274,→
39,Altafulla,Municipality,Tarragona,1085,1674,3293,4856,5512,→
40,Alt Àneu (Alto Aneu),Municipality,Lleida,322,351,407,434,430,→
41,Amer,Municipality,Girona,2473,2302,2182,2254,2383,→
42,Amposta,Municipality,Tarragona,14673,15321,16865,21375,21317,→
43,Anglès (Anglés),Municipality,Girona,5028,5137,4739,5680,5709,→
44,Anglesola,Municipality,Lleida,1349,1252,1219,1364,1356,→
45,Arbeca,Municipality,Lleida,2380,2332,2329,2441,2141,→
46,Arbolí,Municipality,Tarragona,98,138,120,114,126,→
47,Arbúcies (Arbucias),Municipality,Girona,4081,4550,5126,6645,6507,→
48,Arenys de Mar,Municipality,Barcelona,10087,11039,12835,14890,15942,→
49,Arenys de Munt,Municipality,Barcelona,4531,4733,6665,8501,9191,→
50,Argelaguer,Municipality,Girona,362,363,393,416,417,→
51,Argençola (Argensola),Municipality,Barcelona,221,195,192,243,220,→
52,Argentona,Municipality,Barcelona,6554,7848,9896,11877,12629,→
53,Arnes,Municipality,Tarragona,559,534,494,482,441,→
54,Arres (Arrés),Municipality,Lleida,53,50,58,63,67,→
55,Arsèguel (Arseguell),Municipality,Lleida,81,101,103,87,85,→
56,Artés,Municipality,Barcelona,4107,4086,4520,5583,5782,→
57,Artesa de Lleida (Artesa de Lérida),Municipality,Lleida,1178,1188,1313,1512,1525,→
58,Artesa de Segre,Municipality,Lleida,3354,3129,3234,3711,3441,→
59,Ascó,Municipality,Tarragona,2037,1708,1617,1673,1611,→
60,Aspa,Municipality,Lleida,288,253,268,220,207,→
61,Avià (Aviá),Municipality,Barcelona,1827,1778,1893,2258,2199,→
62,Avinyó,Municipality,Barcelona,1937,1194,2019,2313,2286,→
63,Avinyonet del Penedès (Avinyonet del Penedés),Municipality,Barcelona,1206,2049,1262,1713,1701,→
64,Avinyonet de Puigventós (Aviñonet de Puig Ventós),Municipality,Girona,356,445,874,1507,1657,→
65,Badalona,Municipality,Barcelona,229780,218725,205836,219241,223006,→
66,Badia del Vallès,Municipality,Barcelona,21679,18560,14714,13603,13228,→
67,Bagà (Bagá),Municipality,Barcelona,2130,2129,2115,2391,2145,→
68,Baix Pallars,Municipality,Lleida,451,350,359,360,342,→
69,Balaguer,Municipality,Lleida,12585,13037,13359,16868,17409,→
70,Balenyà (Balenyá),Municipality,Barcelona,2948,3231,3213,3693,3900,→
71,Balsareny,Municipality,Barcelona,3624,3405,3195,3484,3278,→
72,Banyeres del Penedès (Bañeras),Municipality,Tarragona,1555,1483,1736,2991,3280,→
73,Banyoles (Bañolas),Municipality,Girona,12451,11938,14232,19163,20168,→
74,Barbens,Municipality,Lleida,794,793,808,923,943,→
75,Barberà de la Conca (Barbará),Municipality,Tarragona,438,424,416,519,472,→
76,Barberà del Vallès (Barberá del Vallés),Municipality,Barcelona,17989,22010,26428,32186,33016,→
77,Barcelona,Municipality,Barcelona,1752627,1643542,1503884,1611013,1636732,→
78,Bàscara (Báscara),Municipality,Girona,736,775,809,958,1015,→
79,Bassella (Basella),Municipality,Lleida,400,367,267,245,224,→
80,Batea,Municipality,Tarragona,2088,2022,2000,2076,1879,→
81,Bausen,Municipality,Lleida,79,68,53,60,66,→
82,Begues (Begas),Municipality,Barcelona,1330,2029,4697,6488,7356,→
83,Begur (Bagur),Municipality,Girona,2292,2760,3459,4122,4039,→
84,Belianes,Municipality,Lleida,638,564,586,558,521,→
85,Bellaguarda,Municipality,Lleida,414,387,358,336,292,→
86,Bellcaire d'Empordà,Municipality,Girona,485,485,561,650,699,→
87,Bellcaire d'Urgell,Municipality,Lleida,1602,1425,1281,1335,1225,→
88,Bell-lloc d'Urgell (Bell Lloch),Municipality,Lleida,2178,2180,2071,2417,2329,→
89,Bellmunt del Priorat (Bellmunt del Priorato),Municipality,Tarragona,374,313,310,336,281,→
90,Bellmunt d'Urgell,Municipality,Lleida,238,237,237,196,182,→
91,Bellprat,Municipality,Barcelona,107,89,90,91,73,→
92,Bellpuig,Municipality,Lleida,3684,3916,4088,4956,5151,→
93,Bellvei (Bellvey),Municipality,Tarragona,877,978,1400,2101,2303,→
94,Bellver de Cerdanya (Bellver de Cerdaña),Municipality,Lleida,1669,1495,1614,2258,2135,→
95,Bellvís,Municipality,Lleida,2460,2254,2101,2407,2258,→
96,Benavent de Segrià (Benavent de Lérida),Municipality,Lleida,737,747,1051,1532,1533,→
97,Benifallet,Municipality,Tarragona,1037,934,848,770,741,→
98,Benissanet (Benisanet),Municipality,Tarragona,1148,1029,1053,1231,1129,→
99,Berga,Municipality,Barcelona,13547,13905,14678,16835,16682,→
100,Besalú,Municipality,Girona,2091,2098,2032,2417,2502,→
101,Bescanó,Municipality,Girona,2632,2833,3309,4669,5094,→
102,Beuda,Municipality,Girona,107,130,135,163,187,→
103,Bigues i Riells (Bigas),Municipality,Barcelona,1467,2807,5914,8803,9542,→
104,Biosca,Municipality,Lleida,309,259,238,213,178,→
105,Biure (Viure),Municipality,Girona,307,204,233,249,244,→
106,Blancafort,Municipality,Tarragona,435,398,394,413,398,→
107,Blanes,Municipality,Girona,20353,25663,30693,39309,40274,→
108,Boadella i les Escaules (Buadella),Municipality,Girona,231,209,215,253,271,→
109,Bolvir,Municipality,Girona,208,226,267,403,489,→
110,Bonastre,Municipality,Tarragona,281,268,372,636,727,→
111,Bordils,Municipality,Girona,1242,1330,1344,1716,1796,→
112,Borrassà,Municipality,Girona,529,476,547,708,752,→
113,Borredà (Borredá),Municipality,Barcelona,488,446,499,584,455,→
114,Bossòst (Bosost),Municipality,Lleida,727,784,959,1154,1120,→
115,Bot,Municipality,Tarragona,1027,906,804,682,566,→
116,Botarell,Municipality,Tarragona,411,461,736,1116,1094,→
117,Bovera (Bobera),Municipality,Lleida,545,433,384,317,261,→
118,Bràfim,Municipality,Tarragona,597,580,581,672,695,→
119,Breda,Municipality,Girona,3121,3221,3381,3761,3836,→
120,Brunyola i Sant Martí Sapresa (Bruñola),Municipality,Girona,499,373,357,400,390,→
121,Cabacés,Municipality,Tarragona,366,353,343,338,312,→
122,Cabanabona,Municipality,Lleida,128,109,94,100,60,→
123,Cabanelles (Cabanellas),Municipality,Girona,237,232,225,237,266,→
124,Cabanes (Cabanas),Municipality,Girona,827,782,759,925,941,→
125,Cabó,Municipality,Lleida,163,142,117,94,94,→
126,Cabra del Camp (Cabra del Campo),Municipality,Tarragona,409,435,682,1151,1230,→
127,Cabrera d'Anoia (Cabrera de Igualada),Municipality,Barcelona,139,216,658,1381,1521,→
128,Cabrera de Mar,Municipality,Barcelona,1703,2812,3763,4520,4787,→
129,Cabrils,Municipality,Barcelona,1472,2966,5219,7112,7567,→
130,Cadaqués,Municipality,Girona,1548,1810,2024,2843,2820,→
131,Calaf,Municipality,Barcelona,3231,3207,2975,3497,3597,→
132,Calafell,Municipality,Tarragona,4597,7166,13503,24432,28463,→
133,Calders,Municipality,Barcelona,494,581,788,956,1063,→
134,Caldes de Malavella (Caldas de Malavella),Municipality,Girona,2812,3106,4225,7075,8051,→
135,Caldes de Montbui (Caldas de Montbui),Municipality,Barcelona,10153,11293,13848,17192,17797,→
136,Caldes d'Estrac (Caldetas),Municipality,Barcelona,1162,1463,1974,2742,3097,→
137,Calella,Municipality,Barcelona,10586,11324,13694,18393,19236,→
138,Calldetenes,Municipality,Barcelona,1229,1472,1998,2430,2504,→
139,Callús,Municipality,Barcelona,1527,1396,1338,1918,2098,→
140,Calonge de Segarra,Municipality,Barcelona,199,197,197,203,194,→
141,Calonge i Sant Antoni,Municipality,Girona,4370,5030,6650,10718,11484,→
142,Camarasa (Camarasa Fontllonga),Municipality,Lleida,1019,929,876,935,807,→
143,Camarles,Municipality,Tarragona,2822,2868,2912,3521,3220,→
144,Cambrils,Municipality,Tarragona,11136,14571,21000,33169,35064,→
145,Camós,Municipality,Girona,635,611,638,682,711,→
146,Campdevànol (Campdevánol),Municipality,Girona,3596,3388,3378,3457,3225,→
147,Campelles (Campellas),Municipality,Girona,215,138,120,135,149,→
148,Campins,Municipality,Barcelona,158,190,294,488,540,→
149,Campllong (Camplloch),Municipality,Girona,309,262,311,519,533,→
150,Camprodon (Camprodón),Municipality,Girona,2386,2218,2248,2427,2435,→
151,Canejan,Municipality,Lleida,137,109,110,111,89,→
152,Canet d'Adri (Canet de Adri),Municipality,Girona,438,467,528,618,749,→
153,Canet de Mar,Municipality,Barcelona,8062,8858,10778,14153,14810,→
154,Canovelles (Canovellas),Municipality,Barcelona,12138,13326,12912,15926,16872,→
155,Cànoves i Samalús (Cánoves),Municipality,Barcelona,576,1033,1968,2852,3219,→
156,Cantallops,Municipality,Girona,307,263,258,324,305,→
157,Canyelles (Canyellas),Municipality,Barcelona,565,730,2158,4245,4886,→
158,Capafonts (Capafons),Municipality,Tarragona,103,111,116,123,125,→
159,Capçanes (Capsanes),Municipality,Tarragona,465,415,412,422,394,→
160,Capellades,Municipality,Barcelona,4883,5031,4881,5448,5314,→
161,Capmany,Municipality,Girona,485,404,490,619,618,→
162,Capolat,Municipality,Barcelona,145,59,66,91,84,→
163,Cardedeu,Municipality,Barcelona,7240,9040,12792,17336,18609,→
164,Cardona,Municipality,Barcelona,6608,6445,5401,5057,4593,→
165,Carme,Municipality,Barcelona,717,679,674,852,768,→
166,Caseres (Caseras),Municipality,Tarragona,338,343,320,278,226,→
167,Cassà de la Selva (Cassá de la Selva),Municipality,Girona,6739,7165,7712,9842,10505,→
168,Casserres (Caserras),Municipality,Barcelona,1793,1672,1528,1582,1636,→
169,Castellar de la Ribera,Municipality,Lleida,191,160,153,159,136,→
170,Castellar del Riu,Municipality,Barcelona,108,63,119,174,171,→
171,Castellar del Vallès (Castellar del Vallés),Municipality,Barcelona,11008,13500,18255,23275,24659,→
172,Castellar de n'Hug (Castellar de Nuch),Municipality,Barcelona,157,162,170,176,167,→
173,Castellbell i el Vilar (Castellbell y Vilar),Municipality,Barcelona,3433,2807,2913,3658,3853,→
174,Castellbisbal,Municipality,Barcelona,3403,4983,9128,12340,12610,→
175,Castellcir,Municipality,Barcelona,221,247,406,664,753,→
176,Castelldans (Castelldáns),Municipality,Lleida,1047,974,939,1011,900,→
177,Castelldefels (Casteldefels),Municipality,Barcelona,24697,33017,46428,61858,67226,→
178,Castell de l'Areny (Castell del Areny),Municipality,Barcelona,49,41,58,74,72,→
179,Castell de Mur,Municipality,Lleida,205,143,149,176,169,→
180,Castellet i la Gornal (Castellet y Gornal),Municipality,Barcelona,1059,1107,1488,2244,2452,→
181,Castellfollit de la Roca (Castellfullit de la Roca),Municipality,Girona,1144,1029,964,989,939,→
182,Castellfollit del Boix (Castellfullit del Boix),Municipality,Barcelona,318,315,383,413,448,→
183,Castellfollit de Riubregós,Municipality,Barcelona,276,250,222,186,163,→
184,Castellgalí,Municipality,Barcelona,676,702,966,1997,2179,→
185,Castellnou de Bages,Municipality,Barcelona,88,196,601,1178,1420,→
186,Castellnou de Seana,Municipality,Lleida,812,748,693,764,692,→
187,Castelló de Farfanya (Castellón de Farfaña),Municipality,Lleida,694,605,583,545,529,→
188,Castelló d'Empúries (Castellón de Ampurias),Municipality,Girona,2657,3637,5896,11358,11154,→
189,Castellolí,Municipality,Barcelona,452,435,430,564,653,→
190,Castell-Platja d'Aro (Castillo de Aro),Municipality,Girona,3778,4823,6806,10423,11455,→
191,Castellserà (Castellserá),Municipality,Lleida,1256,1161,1103,1092,976,→
192,Castellterçol (Castelltersol),Municipality,Barcelona,2057,1903,2031,2411,2632,→
193,Castellvell del Camp,Municipality,Tarragona,626,892,1537,2851,2873,→
194,Castellví de la Marca,Municipality,Barcelona,1423,1437,1433,1647,1597,→
195,Castellví de Rosanes,Municipality,Barcelona,350,661,1195,1756,1996,→
196,Cava (Cavá),Municipality,Lleida,63,51,54,62,46,→
197,Celrà (Celrá),Municipality,Girona,2131,2358,2731,4845,5606,→
198,Centelles (Centellas),Municipality,Barcelona,5621,5682,5822,7323,7595,→
199,Cercs (Serchs),Municipality,Barcelona,1901,1665,1371,1311,1190,→
200,Cerdanyola del Vallès (Sardañola del Vallés),Municipality,Barcelona,40078,47189,53343,57674,57217,→
201,Cervelló,Municipality,Barcelona,2502,3579,6200,8628,9233,→
202,Cervera,Municipality,Lleida,6444,6951,7917,9416,9328,→
203,Cervià de les Garrigues (Cerviá),Municipality,Lleida,933,849,855,761,665,→
204,Cervià de Ter (Cerviá de Ter),Municipality,Girona,655,637,662,900,973,→
205,Cistella,Municipality,Girona,224,205,243,270,282,→
206,Ciutadilla,Municipality,Lleida,289,230,220,207,202,→
207,Clariana de Cardener,Municipality,Lleida,177,146,151,142,158,→
208,Colera,Municipality,Girona,491,441,502,536,462,→
209,Collbató,Municipality,Barcelona,592,1074,2429,4284,4655,→
210,Colldejou,Municipality,Tarragona,178,193,186,177,167,→
211,Coll de Nargó,Municipality,Lleida,742,623,583,595,548,→
212,Collsuspina,Municipality,Barcelona,350,214,268,347,387,→
213,Colomers (Colomés),Municipality,Girona,226,198,203,202,188,→
214,Conca de Dalt,Municipality,Lleida,510,473,424,426,421,→
215,Conesa,Municipality,Tarragona,145,121,132,129,106,→
216,Constantí,Municipality,Tarragona,6061,5353,5084,6714,6724,→
217,Copons (Copóns),Municipality,Barcelona,324,262,278,331,322,→
218,Corbera d'Ebre (Corbera de Ebro),Municipality,Tarragona,1223,1122,1050,1172,981,→
219,Corbera de Llobregat,Municipality,Barcelona,2967,5327,9610,14180,15017,→
220,Corbins (Corbíns),Municipality,Lleida,1048,1039,1105,1399,1499,→
221,Corçà (Corsá),Municipality,Girona,1076,1083,1143,1284,1275,→
222,Cornellà de Llobregat (Cornellá de Llobregat),Municipality,Barcelona,91563,84927,79979,86504,89300,→
223,Cornellà del Terri (Cornellá del Terri),Municipality,Girona,1756,1800,1870,2241,2422,→
224,Cornudella de Montsant,Municipality,Tarragona,980,859,859,1013,965,→
225,Creixell,Municipality,Tarragona,540,1056,2086,3416,3912,→
226,Crespià (Crespiá),Municipality,Girona,224,231,232,261,270,→
227,"Cruïlles, Monells i Sant Sadurní de l'Heura (Cruilles, Monells y San Sadurní)",Municipality,Girona,1060,1054,1090,1240,1327,→
228,Cubelles (Cubellas),Municipality,Barcelona,2214,3149,7326,14186,16051,→
229,Cubells (Cubélls),Municipality,Lleida,453,384,355,399,357,→
230,Cunit,Municipality,Tarragona,897,2425,6402,12590,14081,→
231,Darnius,Municipality,Girona,470,500,514,530,540,→
232,Das,Municipality,Girona,134,142,151,224,248,→
233,Deltebre,Municipality,Tarragona,9881,10180,10478,12124,11539,→
234,Dosrius,Municipality,Barcelona,737,1211,3098,5171,5685,→
235,Duesaigües (Dosaiguas),Municipality,Tarragona,202,211,201,238,234,→
236,El Bruc (Bruch),Municipality,Barcelona,652,753,1234,2012,2177,→
237,El Brull,Municipality,Barcelona,187,182,186,258,275,→
238,El Catllar,Municipality,Tarragona,767,1300,2594,4165,4740,→
239,El Cogul,Municipality,Lleida,264,232,235,193,143,→
240,El Far d'Empordà,Municipality,Girona,465,396,387,554,619,→
241,El Lloar (Lloá),Municipality,Tarragona,202,138,114,116,111,→
242,El Masnou,Municipality,Barcelona,14522,18393,20678,22430,23848,→
243,El Masroig,Municipality,Tarragona,601,528,519,555,499,→
244,El Milà (Milá),Municipality,Tarragona,156,168,162,174,191,→
245,El Molar (Molá),Municipality,Tarragona,358,324,294,294,298,→
246,El Montmell,Municipality,Tarragona,164,280,721,1505,1730,→
247,El Morell,Municipality,Tarragona,2214,2272,2332,3486,3732,→
248,El Palau d'Anglesola,Municipality,Lleida,1672,1609,1685,2178,2205,→
249,El Papiol,Municipality,Barcelona,3187,3327,3314,3990,4232,→
250,El Perelló,Municipality,Tarragona,2216,2155,2228,3126,2846,→
251,El Pinell de Brai,Municipality,Tarragona,1280,1170,1099,1108,998,→
252,El Pla del Penedès,Municipality,Barcelona,1000,964,895,1187,1306,→
253,El Pla de Santa Maria,Municipality,Tarragona,1461,1579,1669,2385,2340,→
254,El Poal,Municipality,Lleida,728,646,632,645,667,→
255,El Pont d'Armentera,Municipality,Tarragona,593,594,527,598,493,→
256,El Pont de Bar,Municipality,Lleida,167,169,159,182,174,→
257,El Pont de Suert,Municipality,Lleida,2961,2285,2048,2499,2331,→
258,El Pont de Vilomara i Rocafort,Municipality,Barcelona,2109,2230,2688,3743,4016,→
259,El Port de la Selva,Municipality,Girona,729,761,760,996,1010,→
260,El Prat de Llobregat,Municipality,Barcelona,60419,64321,61818,62981,65532,→
261,El Rourell,Municipality,Tarragona,305,242,256,388,402,→
262,Els Alamús,Municipality,Lleida,664,660,678,742,773,→
263,Els Garidells,Municipality,Tarragona,179,181,175,191,198,→
264,Els Guiamets,Municipality,Tarragona,309,294,304,313,276,→
265,Els Hostalets de Pierola,Municipality,Barcelona,841,921,1454,2880,3064,→
266,El Soleràs,Municipality,Lleida,541,449,412,365,337,→
267,Els Omellons (Omellóns),Municipality,Lleida,291,270,248,251,202,→
268,Els Omells de na Gaia,Municipality,Lleida,178,152,152,149,127,→
269,Els Pallaresos,Municipality,Tarragona,364,668,2701,4362,4872,→
270,Els Plans de Sió,Municipality,Lleida,794,671,547,558,503,→
271,Els Prats de Rei (Prats del Rey),Municipality,Barcelona,619,562,537,532,551,→
272,Els Torms (Torms),Municipality,Lleida,234,215,191,168,145,→
273,El Vendrell,Municipality,Tarragona,11661,15415,23744,36476,38891,→
274,El Vilosell,Municipality,Lleida,231,214,197,197,192,→
275,Es Bòrdes (Las Bordas),Municipality,Lleida,167,193,208,236,285,→
276,Esparreguera (Esparraguera),Municipality,Barcelona,11079,12612,18290,21875,22358,→
277,Espinelves (Espinelvas),Municipality,Girona,254,191,184,201,239,→
278,Esplugues de Llobregat (Esplugas de Llobregat),Municipality,Barcelona,46079,48310,45127,46307,46777,→
279,Espolla,Municipality,Girona,430,390,369,412,412,→
280,Esponellà,Municipality,Girona,374,383,369,446,469,→
281,Espot,Municipality,Lleida,227,243,309,350,366,→
282,Estamariu,Municipality,Lleida,135,134,128,119,129,→
283,Estaràs (Estarás),Municipality,Lleida,225,167,182,166,172,→
284,Esterri d'Àneu (Esterri de Aneu),Municipality,Lleida,566,496,638,886,832,→
285,Esterri de Cardós,Municipality,Lleida,56,66,72,74,64,→
286,Falset,Municipality,Tarragona,2647,2592,2471,2882,2724,→
287,Farrera,Municipality,Lleida,75,88,100,138,116,→
288,Figaró-Montmany,Municipality,Barcelona,634,631,873,1109,1127,→
289,Fígols,Municipality,Barcelona,58,33,49,46,46,→
290,Fígols i Alinyà (Fígols y Aliñá),Municipality,Lleida,410,347,267,276,260,→
291,Figueres (Figueras),Municipality,Girona,30412,34573,33064,44493,47043,→
292,Figuerola del Camp,Municipality,Tarragona,203,212,287,342,336,→
293,Flaçà (Flassá),Municipality,Girona,991,914,863,1051,1147,→
294,Flix,Municipality,Tarragona,5009,5025,3952,3894,3451,→
295,Fogars de la Selva (Fogás de Tordera),Municipality,Barcelona,252,397,806,1517,1540,→
296,Fogars de Montclús (Fogás de Monclús),Municipality,Barcelona,278,245,352,443,467,→
297,Foixà (Foixá),Municipality,Girona,334,301,311,310,299,→
298,Folgueroles (Folgarolas),Municipality,Barcelona,1016,1160,1693,2233,2269,→
299,Fondarella,Municipality,Lleida,516,634,678,822,781,→
300,Fonollosa,Municipality,Barcelona,633,685,1067,1432,1495,→
301,Fontanals de Cerdanya (Fontanals de Cerdaña),Municipality,Girona,313,296,406,471,506,→
302,Fontanilles (Fontanillas),Municipality,Girona,140,117,138,161,157,→
303,Fontcoberta (Fontcuberta),Municipality,Girona,628,923,1178,1365,1468,→
304,Font-rubí (Fontrubí),Municipality,Barcelona,1171,1138,1262,1433,1440,→
305,Foradada,Municipality,Lleida,162,156,200,183,195,→
306,Forallac,Municipality,Girona,1529,1492,1598,1725,1708,→
307,Forès (Forés),Municipality,Tarragona,71,60,61,51,48,→
308,Fornells de la Selva,Municipality,Girona,944,1152,1627,2441,2700,→
309,Fortià (Fortiá),Municipality,Girona,493,502,524,666,793,→
310,Freginals,Municipality,Tarragona,414,373,381,453,391,→
311,Fulleda,Municipality,Lleida,121,123,115,102,101,→
312,Gaià (Gayá),Municipality,Barcelona,143,133,148,166,189,→
313,Gallifa,Municipality,Barcelona,72,88,186,201,183,→
314,Gandesa,Municipality,Tarragona,2831,2651,2641,3119,3098,→
315,Garcia,Municipality,Tarragona,638,567,519,581,535,→
316,Garrigàs (Garrigás),Municipality,Girona,345,305,310,378,464,→
317,Garrigoles (Garrigolas),Municipality,Girona,154,151,157,162,170,→
318,Garriguella,Municipality,Girona,600,643,722,851,909,→
319,Gavà (Gavá),Municipality,Barcelona,33624,35204,39815,46306,46931,→
320,Gavet de la Conca (Gabet de la Conca),Municipality,Lleida,469,369,313,310,262,→
321,Gelida,Municipality,Barcelona,3650,3908,4571,7079,7723,→
322,Ger,Municipality,Girona,264,270,373,472,502,→
323,Gimenells i el Pla de la Font,Municipality,Lleida,1188,1186,1066,1169,1118,→
324,Ginestar,Municipality,Tarragona,948,884,835,907,787,→
325,Girona (Gerona),Municipality,Girona,63308,68656,74879,96113,101932,→
326,Gironella,Municipality,Barcelona,5600,5009,4858,5045,4916,→
327,Gisclareny,Municipality,Barcelona,21,32,28,32,27,→
328,Godall,Municipality,Tarragona,823,763,713,770,614,→
329,Golmés,Municipality,Lleida,1293,1280,1374,1739,1855,→
330,Gombrèn (Gombreny),Municipality,Girona,264,239,231,205,196,→
331,Gósol,Municipality,Lleida,204,201,238,228,232,→
332,Granera,Municipality,Barcelona,54,58,67,83,85,→
333,Granollers,Municipality,Barcelona,45348,51873,53105,59571,62475,→
334,Granyanella (Grañanella),Municipality,Lleida,128,130,142,148,145,→
335,Granyena de les Garrigues (Grañena de las Garrigas),Municipality,Lleida,222,182,154,174,154,→
336,Granyena de Segarra (Grañena),Municipality,Lleida,217,186,149,137,159,→
337,Gratallops,Municipality,Tarragona,301,246,224,266,237,→
338,Gualba,Municipality,Barcelona,631,629,830,1371,1585,→
339,Gualta,Municipality,Girona,313,267,311,396,421,→
340,Guardiola de Berguedà (Guardiola de Berga),Municipality,Barcelona,1164,1028,940,993,929,→
341,Guils de Cerdanya (Guils de Cerdaña),Municipality,Girona,239,278,331,546,588,→
342,Guimerà (Guimerá),Municipality,Lleida,502,419,365,312,263,→
343,Guissona (Guisona),Municipality,Lleida,2602,2642,3581,6668,7291,→
344,Guixers (Guixes),Municipality,Lleida,169,152,154,130,126,→
345,Gurb,Municipality,Barcelona,1509,1674,1955,2577,2705,→
346,Horta de Sant Joan (Horta de San Juan),Municipality,Tarragona,1380,1328,1217,1282,1138,→
347,Hostalric (Hostalrich),Municipality,Girona,2672,2899,2912,3997,4332,→
348,Igualada,Municipality,Barcelona,31532,31855,33049,39103,40875,→
349,Isona i Conca Dellà (Isona y Conca Dellá),Municipality,Lleida,1565,1367,1180,1081,1060,→
350,Isòvol (Isóbol),Municipality,Girona,197,175,189,319,314,→
351,Ivars de Noguera (Ibars de Noguera),Municipality,Lleida,378,344,339,360,335,→
352,Ivars d'Urgell (Ibars de Urgel),Municipality,Lleida,1865,1744,1711,1629,1553,→
353,Ivorra (Iborra),Municipality,Lleida,199,152,165,115,110,→
354,Jafre,Municipality,Girona,379,351,339,412,382,→
355,Jorba,Municipality,Barcelona,471,513,605,827,825,→
356,Josa i Tuixén (Josá Tuixent),Municipality,Lleida,133,145,146,139,100,→
357,Juià (Juyá),Municipality,Girona,269,283,267,342,327,→
358,Juncosa,Municipality,Lleida,638,585,547,456,397,→
359,Juneda,Municipality,Lleida,3046,2949,2960,3443,3569,→
360,La Baronia de Rialb,Municipality,Lleida,298,256,273,253,229,→
361,La Bisbal de Falset,Municipality,Tarragona,328,266,248,225,218,→
362,La Bisbal del Penedès,Municipality,Tarragona,1239,1388,2182,3433,3830,→
363,La Bisbal d'Empordà,Municipality,Girona,7411,7778,8145,10559,11190,→
364,La Canonja (← Tarragona),Municipality,Tarragona,...,...,...,5708,5933,→
365,La Cellera de Ter,Municipality,Girona,2046,2069,1987,2048,1973,→
366,La Coma i la Pedra,Municipality,Lleida,228,251,239,274,277,→
367,La Fatarella,Municipality,Tarragona,1465,1383,1201,1100,917,→
368,La Febró,Municipality,Tarragona,31,55,62,49,41,→
369,La Figuera,Municipality,Tarragona,146,135,124,125,117,→
370,La Floresta,Municipality,Lleida,193,198,185,170,145,→
371,La Fuliola,Municipality,Lleida,1323,1329,1230,1309,1247,→
372,La Galera,Municipality,Tarragona,799,761,749,832,723,→
373,La Garriga,Municipality,Barcelona,8178,9447,12037,15421,16733,→
374,La Granada,Municipality,Barcelona,1195,1202,1432,2035,2207,→
375,La Granadella,Municipality,Lleida,955,844,776,741,705,→
376,La Granja d'Escarp,Municipality,Lleida,1167,1142,1064,974,931,→
377,La Guingueta d'Àneu,Municipality,Lleida,264,268,316,344,300,→
378,La Jonquera,Municipality,Girona,2415,2502,2636,3150,3340,→
