,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
758,Sant Martí de Tous (San Martín de Tous),Municipality,Barcelona,1027,946,998,1173,1236,→
759,Sant Martí Sarroca (San Martín Sarroca),Municipality,Barcelona,2311,2394,2448,3192,3286,→
760,Sant Martí Sesgueioles (San Martín Sasgayolas),Municipality,Barcelona,415,363,353,380,344,→
761,Sant Martí Vell (San Martivell),Municipality,Girona,199,204,204,259,244,→
762,Sant Mateu de Bages (San Mateo de Bages),Municipality,Barcelona,628,545,690,641,614,→
763,Sant Miquel de Campmajor (San Miguel de Campmajor),Municipality,Girona,241,217,201,227,243,→
764,Sant Miquel de Fluvià (San Miguel de Fluviá),Municipality,Girona,481,549,621,784,755,→
765,Sant Mori (San Mori),Municipality,Girona,151,146,141,200,157,→
766,Sant Pau de Segúries (San Pablo de Seguríes),Municipality,Girona,607,647,645,677,725,→
767,Santpedor (Sampedor),Municipality,Barcelona,3411,4570,5492,7159,7566,→
768,Sant Pere de Ribes (San Pedro de Ribas),Municipality,Barcelona,10517,13662,23134,28944,31525,→
769,Sant Pere de Riudebitlles (San Pedro de Riudevitlles),Municipality,Barcelona,2170,2108,2086,2352,2411,→
770,Sant Pere de Torelló (San Pedro de Torelló),Municipality,Barcelona,2006,1996,2188,2443,2488,→
771,Sant Pere de Vilamajor (San Pedro de Vilamajor),Municipality,Barcelona,702,1141,2809,4285,4671,→
772,Sant Pere Pescador (San Pedro Pescador),Municipality,Girona,1058,1199,1425,2106,2083,→
773,Sant Pere Sallavinera (Salavinera),Municipality,Barcelona,183,185,146,165,159,→
774,Sant Pol de Mar (San Pol de Mar),Municipality,Barcelona,2275,2406,3927,5078,5538,→
775,Sant Quintí de Mediona (San Quintín de Mediona),Municipality,Barcelona,1533,1483,1791,2113,2367,→
776,Sant Quirze de Besora (San Quirico de Besora),Municipality,Barcelona,2074,2028,1970,2189,2145,→
777,Sant Quirze del Vallès (San Quirico de Tarrasa),Municipality,Barcelona,5115,9046,13727,19024,20156,→
778,Sant Quirze Safaja (San Quirico Safaja),Municipality,Barcelona,321,249,417,648,660,→
779,Sant Ramon (San Ramón),Municipality,Lleida,652,561,560,535,497,→
780,Sant Sadurní d'Anoia (San Sadurní de Noya),Municipality,Barcelona,8596,9296,9843,12487,12840,→
781,Sant Sadurní d'Osormort (San Saturnino de Osormot),Municipality,Barcelona,79,74,81,95,76,→
782,Sant Salvador de Guardiola (Guardiola),Municipality,Barcelona,633,1221,2156,3135,3243,→
783,Sant Vicenç de Castellet (San Vicente de Castellet),Municipality,Barcelona,7839,7393,7008,9261,9868,→
784,Sant Vicenç dels Horts (San Vicente dels Horts),Municipality,Barcelona,20182,20836,24694,28025,28115,→
785,Sant Vicenç de Montalt (San Vicente de Montalt),Municipality,Barcelona,1191,1600,3847,5831,6523,→
786,Sant Vicenç de Torelló (San Vicente de Torelló),Municipality,Barcelona,1785,1702,1806,2032,2077,→
787,Sarral,Municipality,Tarragona,1466,1361,1415,1638,1549,→
788,Sarrià de Ter (Sarriá de Ter),Municipality,Girona,3779,3237,3708,4811,5231,→
789,Sarroca de Bellera,Municipality,Lleida,151,140,153,130,120,→
790,Sarroca de Lleida,Municipality,Lleida,549,501,457,408,357,→
791,"Saus, Camallera i Llampaies (Saus)",Municipality,Girona,724,705,686,787,865,→
792,Savallà del Comtat (Savallá del Condado),Municipality,Tarragona,58,56,62,69,53,→
793,Senan (Senant),Municipality,Tarragona,31,27,35,57,42,→
794,Senterada,Municipality,Lleida,163,109,98,137,150,→
795,Sentmenat (Senmanat),Municipality,Barcelona,3674,4582,5921,8481,9347,→
796,Serinyà (Seriñá),Municipality,Girona,730,763,850,1118,1143,→
797,Seròs (Serós),Municipality,Lleida,1948,1890,1771,1893,1923,→
798,Serra de Daró,Municipality,Girona,222,184,184,209,235,→
799,Setcases (Setcasas),Municipality,Girona,148,150,178,184,185,→
800,Seva,Municipality,Barcelona,1487,1765,2578,3428,3696,→
801,Sidamon (Sidamunt),Municipality,Lleida,447,444,586,722,755,→
802,Sils,Municipality,Girona,1865,2356,3248,5678,6349,→
803,Sitges,Municipality,Barcelona,11844,13109,19893,28142,30217,→
804,Siurana (Ciurana),Municipality,Girona,174,151,167,169,179,→
805,Sobremunt,Municipality,Barcelona,63,91,87,91,78,→
806,Solivella,Municipality,Tarragona,851,714,633,654,640,→
807,Solsona,Municipality,Lleida,6267,6658,7344,9200,9175,→
808,Sora,Municipality,Barcelona,268,211,182,181,211,→
809,Soriguera,Municipality,Lleida,260,290,325,365,431,→
810,Sort,Municipality,Lleida,1548,1571,1851,2284,2181,→
811,Soses,Municipality,Lleida,1503,1516,1466,1759,1781,→
812,Subirats,Municipality,Barcelona,2214,2083,2576,3063,3149,→
813,Sudanell,Municipality,Lleida,771,733,704,895,844,→
814,Sunyer (Suñé),Municipality,Lleida,320,311,297,298,334,→
